date,indicator,value,series_id
2015-01-01,한국 소비자물가지수,94.643,901Y009_0
2015-02-01,한국 소비자물가지수,94.587,901Y009_0
2015-03-01,한국 소비자물가지수,94.596,901Y009_0
2015-04-01,한국 소비자물가지수,94.625,901Y009_0
2015-05-01,한국 소비자물가지수,94.89,901Y009_0
2015-06-01,한국 소비자물가지수,94.909,901Y009_0
2015-07-01,한국 소비자물가지수,95.08,901Y009_0
2015-08-01,한국 소비자물가지수,95.213,901Y009_0
2015-09-01,한국 소비자물가지수,94.966,901Y009_0
2015-10-01,한국 소비자물가지수,94.966,901Y009_0
2015-11-01,한국 소비자물가지수,94.786,901Y009_0
2015-12-01,한국 소비자물가지수,95.07,901Y009_0
2016-01-01,한국 소비자물가지수,95.232,901Y009_0
2016-02-01,한국 소비자물가지수,95.64,901Y009_0
2016-03-01,한국 소비자물가지수,95.393,901Y009_0
2016-04-01,한국 소비자물가지수,95.573,901Y009_0
2016-05-01,한국 소비자물가지수,95.63,901Y009_0
2016-06-01,한국 소비자물가지수,95.611,901Y009_0
2016-07-01,한국 소비자물가지수,95.431,901Y009_0
2016-08-01,한국 소비자물가지수,95.677,901Y009_0
2016-09-01,한국 소비자물가지수,96.247,901Y009_0
2016-10-01,한국 소비자물가지수,96.379,901Y009_0
2016-11-01,한국 소비자물가지수,96.237,901Y009_0
2016-12-01,한국 소비자물가지수,96.342,901Y009_0
2017-01-01,한국 소비자물가지수,97.366,901Y009_0
2017-02-01,한국 소비자물가지수,97.632,901Y009_0
2017-03-01,한국 소비자물가지수,97.565,901Y009_0
2017-04-01,한국 소비자물가지수,97.442,901Y009_0
2017-05-01,한국 소비자물가지수,97.546,901Y009_0
2017-06-01,한국 소비자물가지수,97.338,901Y009_0
2017-07-01,한국 소비자물가지수,97.499,901Y009_0
2017-08-01,한국 소비자물가지수,98.058,901Y009_0
2017-09-01,한국 소비자물가지수,98.172,901Y009_0
2017-10-01,한국 소비자물가지수,98.077,901Y009_0
2017-11-01,한국 소비자물가지수,97.347,901Y009_0
2017-12-01,한국 소비자물가지수,97.698,901Y009_0
2018-01-01,한국 소비자물가지수,98.106,901Y009_0
2018-02-01,한국 소비자물가지수,98.855,901Y009_0
2018-03-01,한국 소비자물가지수,98.751,901Y009_0
2018-04-01,한국 소비자물가지수,98.931,901Y009_0
2018-05-01,한국 소비자물가지수,98.979,901Y009_0
2018-06-01,한국 소비자물가지수,98.779,901Y009_0
2018-07-01,한국 소비자물가지수,98.59,901Y009_0
2018-08-01,한국 소비자물가지수,99.462,901Y009_0
2018-09-01,한국 소비자물가지수,100.221,901Y009_0
2018-10-01,한국 소비자물가지수,100.041,901Y009_0
2018-11-01,한국 소비자물가지수,99.33,901Y009_0
2018-12-01,한국 소비자물가지수,98.988,901Y009_0
2019-01-01,한국 소비자물가지수,98.884,901Y009_0
2019-02-01,한국 소비자물가지수,99.311,901Y009_0
2019-03-01,한국 소비자물가지수,99.121,901Y009_0
2019-04-01,한국 소비자물가지수,99.481,901Y009_0
2019-05-01,한국 소비자물가지수,99.652,901Y009_0
2019-06-01,한국 소비자물가지수,99.491,901Y009_0
2019-07-01,한국 소비자물가지수,99.187,901Y009_0
2019-08-01,한국 소비자물가지수,99.425,901Y009_0
2019-09-01,한국 소비자물가지수,99.794,901Y009_0
2019-10-01,한국 소비자물가지수,100.041,901Y009_0
2019-11-01,한국 소비자물가지수,99.481,901Y009_0
2019-12-01,한국 소비자물가지수,99.719,901Y009_0
2015-01-01,한국 CPI 특수분류,94.643,901Y010_00
2015-02-01,한국 CPI 특수분류,94.587,901Y010_00
2015-03-01,한국 CPI 특수분류,94.596,901Y010_00
2015-04-01,한국 CPI 특수분류,94.625,901Y010_00
2015-05-01,한국 CPI 특수분류,94.89,901Y010_00
2015-06-01,한국 CPI 특수분류,94.909,901Y010_00
2015-07-01,한국 CPI 특수분류,95.08,901Y010_00
2015-08-01,한국 CPI 특수분류,95.213,901Y010_00
2015-09-01,한국 CPI 특수분류,94.966,901Y010_00
2015-10-01,한국 CPI 특수분류,94.966,901Y010_00
2015-11-01,한국 CPI 특수분류,94.786,901Y010_00
2015-12-01,한국 CPI 특수분류,95.07,901Y010_00
2016-01-01,한국 CPI 특수분류,95.232,901Y010_00
2016-02-01,한국 CPI 특수분류,95.64,901Y010_00
2016-03-01,한국 CPI 특수분류,95.393,901Y010_00
2016-04-01,한국 CPI 특수분류,95.573,901Y010_00
2016-05-01,한국 CPI 특수분류,95.63,901Y010_00
2016-06-01,한국 CPI 특수분류,95.611,901Y010_00
2016-07-01,한국 CPI 특수분류,95.431,901Y010_00
