date,indicator,value,series_id
2010-01-01,미국 GDP,14764.61,GDP
2010-04-01,미국 GDP,14980.193,GDP
2010-07-01,미국 GDP,15141.607,GDP
2010-10-01,미국 GDP,15309.474,GDP
2011-01-01,미국 GDP,15351.448,GDP
2011-04-01,미국 GDP,15557.539,GDP
2011-07-01,미국 GDP,15647.68,GDP
2011-10-01,미국 GDP,15842.259,GDP
2012-01-01,미국 GDP,16068.805,GDP
2012-04-01,미국 GDP,16207.115,GDP
2012-07-01,미국 GDP,16319.541,GDP
2012-10-01,미국 GDP,16420.419,GDP
2013-01-01,미국 GDP,16648.189,GDP
2013-04-01,미국 GDP,16728.687,GDP
2013-07-01,미국 GDP,16953.838,GDP
2013-10-01,미국 GDP,17192.019,GDP
2014-01-01,미국 GDP,17197.738,GDP
2014-04-01,미국 GDP,17518.508,GDP
2014-07-01,미국 GDP,17804.228,GDP
2014-10-01,미국 GDP,17912.079,GDP
2010-01-01,미국 CPI,217.488,CPIAUCSL
2010-02-01,미국 CPI,217.281,CPIAUCSL
2010-03-01,미국 CPI,217.353,CPIAUCSL
2010-04-01,미국 CPI,217.403,CPIAUCSL
2010-05-01,미국 CPI,217.29,CPIAUCSL
2010-06-01,미국 CPI,217.199,CPIAUCSL
2010-07-01,미국 CPI,217.605,CPIAUCSL
2010-08-01,미국 CPI,217.923,CPIAUCSL
2010-09-01,미국 CPI,218.275,CPIAUCSL
2010-10-01,미국 CPI,219.035,CPIAUCSL
2010-11-01,미국 CPI,219.59,CPIAUCSL
2010-12-01,미국 CPI,220.472,CPIAUCSL
2011-01-01,미국 CPI,221.187,CPIAUCSL
2011-02-01,미국 CPI,221.898,CPIAUCSL
2011-03-01,미국 CPI,223.046,CPIAUCSL
2011-04-01,미국 CPI,224.093,CPIAUCSL
2011-05-01,미국 CPI,224.806,CPIAUCSL
2011-06-01,미국 CPI,224.806,CPIAUCSL
2011-07-01,미국 CPI,225.395,CPIAUCSL
2011-08-01,미국 CPI,226.106,CPIAUCSL
2011-09-01,미국 CPI,226.597,CPIAUCSL
2011-10-01,미국 CPI,226.75,CPIAUCSL
2011-11-01,미국 CPI,227.169,CPIAUCSL
