date,indicator,value,period
202001,기준금리,1.25,M
20200102,원/달러 환율,1157.8,D
20200102,원/엔 환율,1065.67,D
20200102,원/유로 환율,1299.11,D
20200103,원/달러 환율,1156.9,D
20200103,원/엔 환율,1065.53,D
20200103,원/유로 환율,1292.66,D
20200106,원/달러 환율,1162.7,D
20200106,원/엔 환율,1078.42,D
20200106,원/유로 환율,1298.15,D
20200107,원/달러 환율,1169.6,D
20200107,원/엔 환율,1079.02,D
20200107,원/유로 환율,1309.54,D
20200108,원/달러 환율,1165.3,D
20200108,원/엔 환율,1074.95,D
20200108,원/유로 환율,1299.25,D
20200109,원/달러 환율,1174.1,D
20200109,원/엔 환율,1076.12,D
20200109,원/유로 환율,1304.25,D
20200110,원/달러 환율,1160.0,D
20200110,원/엔 환율,1059.6,D
20200110,원/유로 환율,1288.47,D
20200113,원/달러 환율,1161.1,D
20200113,원/엔 환율,1059.93,D
20200113,원/유로 환율,1290.74,D
20200114,원/달러 환율,1155.7,D
20200114,원/엔 환율,1051.35,D
20200114,원/유로 환율,1286.93,D
20200115,원/달러 환율,1153.1,D
20200115,원/엔 환율,1048.42,D
20200115,원/유로 환율,1283.11,D
20200116,원/달러 환율,1158.8,D
20200116,원/엔 환율,1054.37,D
20200116,원/유로 환율,1292.24,D
20200117,원/달러 환율,1159.6,D
20200117,원/엔 환율,1052.32,D
20200117,원/유로 환율,1291.39,D
20200120,원/달러 환율,1158.8,D
20200120,원/엔 환율,1051.83,D
20200120,원/유로 환율,1285.05,D
20200121,원/달러 환율,1158.8,D
20200121,원/엔 환율,1051.78,D
20200121,원/유로 환율,1285.57,D
20200122,원/달러 환율,1164.7,D
20200122,원/엔 환율,1059.97,D
20200122,원/유로 환율,1291.01,D
20200123,원/달러 환율,1165.1,D
20200123,원/엔 환율,1060.87,D
20200123,원/유로 환율,1292.74,D
20200128,원/달러 환율,1167.2,D
20200128,원/엔 환율,1071.37,D
20200128,원/유로 환율,1286.2,D
20200129,원/달러 환율,1176.7,D
20200129,원/엔 환율,1078.3,D
20200129,원/유로 환율,1296.84,D
20200130,원/달러 환율,1176.0,D
20200130,원/엔 환율,1078.45,D
20200130,원/유로 환율,1294.95,D
20200131,원/달러 환율,1183.5,D
20200131,원/엔 환율,1086.68,D
20200131,원/유로 환율,1305.76,D
202002,기준금리,1.25,M
20200203,원/달러 환율,1187.8,D
20200203,원/엔 환율,1096.21,D
20200203,원/유로 환율,1317.33,D
20200204,원/달러 환율,1196.0,D
20200204,원/엔 환율,1101.24,D
20200204,원/유로 환율,1323.02,D
20200205,원/달러 환율,1189.4,D
20200205,원/엔 환율,1086.36,D
20200205,원/유로 환율,1313.75,D
20200206,원/달러 환율,1188.5,D
20200206,원/엔 환율,1082.27,D
20200206,원/유로 환율,1307.29,D
20200207,원/달러 환율,1181.4,D
20200207,원/엔 환율,1074.05,D
20200207,원/유로 환율,1297.18,D
20200210,원/달러 환율,1187.2,D
20200210,원/엔 환율,1081.58,D
20200210,원/유로 환율,1299.33,D
20200211,원/달러 환율,1189.8,D
20200211,원/엔 환율,1084.05,D
20200211,원/유로 환율,1298.55,D
20200212,원/달러 환율,1184.1,D
20200212,원/엔 환율,1078.42,D
20200212,원/유로 환율,1292.86,D
20200213,원/달러 환율,1179.8,D
20200213,원/엔 환율,1071.86,D
20200213,원/유로 환율,1282.62,D
20200214,원/달러 환율,1181.5,D
20200214,원/엔 환율,1076.0,D
20200214,원/유로 환율,1280.63,D
20200217,원/달러 환율,1183.5,D
20200217,원/엔 환율,1077.62,D
20200217,원/유로 환율,1282.74,D
20200218,원/달러 환율,1182.2,D
20200218,원/엔 환율,1076.54,D
20200218,원/유로 환율,1281.09,D
20200219,원/달러 환율,1188.1,D
20200219,원/엔 환율,1081.27,D
20200219,원/유로 환율,1282.44,D
20200220,원/달러 환율,1190.8,D
20200220,원/엔 환율,1070.19,D
20200220,원/유로 환율,1287.08,D
20200221,원/달러 환율,1197.0,D
20200221,원/엔 환율,1068.13,D
20200221,원/유로 환율,1291.26,D
20200224,원/달러 환율,1205.6,D
20200224,원/엔 환율,1081.79,D
20200224,원/유로 환율,1306.81,D
20200225,원/달러 환율,1217.7,D
20200225,원/엔 환율,1099.26,D
20200225,원/유로 환율,1321.51,D
20200226,원/달러 환율,1212.7,D
20200226,원/엔 환율,1100.25,D
20200226,원/유로 환율,1319.36,D
20200227,원/달러 환율,1216.8,D
20200227,원/엔 환율,1101.92,D
20200227,원/유로 환율,1324.06,D
20200228,원/달러 환율,1215.9,D
20200228,원/엔 환율,1109.95,D
20200228,원/유로 환율,1337.61,D
202003,기준금리,0.75,M
20200302,원/달러 환율,1215.3,D
20200302,원/엔 환율,1130.25,D
20200302,원/유로 환율,1345.15,D
20200303,원/달러 환율,1200.3,D
20200303,원/엔 환율,1108.46,D
20200303,원/유로 환율,1337.79,D
20200304,원/달러 환율,1191.4,D
20200304,원/엔 환율,1114.55,D
20200304,원/유로 환율,1332.4,D
20200305,원/달러 환율,1186.4,D
20200305,원/엔 환율,1103.27,D
20200305,원/유로 환율,1321.23,D
20200306,원/달러 환율,1185.0,D
20200306,원/엔 환율,1116.82,D
20200306,원/유로 환율,1330.64,D
20200309,원/달러 환율,1191.4,D
20200309,원/엔 환율,1144.97,D
20200309,원/유로 환율,1355.1,D
20200310,원/달러 환율,1201.4,D
