date,indicator,value,series_id
2010-03-01,한국 GDP 주요지표,11878.1,200Y102_
2010-06-01,한국 GDP 주요지표,16189.6,200Y102_
2010-09-01,한국 GDP 주요지표,18355.3,200Y102_
2010-12-01,한국 GDP 주요지표,20321.5,200Y102_
2011-03-01,한국 GDP 주요지표,10494.9,200Y102_
2011-06-01,한국 GDP 주요지표,14133.2,200Y102_
2011-09-01,한국 GDP 주요지표,18374.2,200Y102_
2011-12-01,한국 GDP 주요지표,21281.0,200Y102_
2012-03-01,한국 GDP 주요지표,12949.9,200Y102_
2012-06-01,한국 GDP 주요지표,16701.2,200Y102_
2012-09-01,한국 GDP 주요지표,20254.0,200Y102_
2012-12-01,한국 GDP 주요지표,21344.7,200Y102_
2013-03-01,한국 GDP 주요지표,22172.9,200Y102_
2013-06-01,한국 GDP 주요지표,21837.5,200Y102_
2013-09-01,한국 GDP 주요지표,18728.0,200Y102_
2013-12-01,한국 GDP 주요지표,21229.4,200Y102_
2014-03-01,한국 GDP 주요지표,23254.8,200Y102_
2014-06-01,한국 GDP 주요지표,23970.2,200Y102_
2014-09-01,한국 GDP 주요지표,24186.2,200Y102_
2014-12-01,한국 GDP 주요지표,29065.1,200Y102_
2015-03-01,한국 GDP 주요지표,30466.1,200Y102_
2015-06-01,한국 GDP 주요지표,34062.0,200Y102_
2015-09-01,한국 GDP 주요지표,32175.7,200Y102_
2015-12-01,한국 GDP 주요지표,34711.7,200Y102_
2016-03-01,한국 GDP 주요지표,35646.8,200Y102_
2016-06-01,한국 GDP 주요지표,32430.1,200Y102_
2016-09-01,한국 GDP 주요지표,24334.4,200Y102_
2016-12-01,한국 GDP 주요지표,32674.9,200Y102_
2017-03-01,한국 GDP 주요지표,32097.2,200Y102_
2017-06-01,한국 GDP 주요지표,29789.5,200Y102_
2017-09-01,한국 GDP 주요지표,25067.7,200Y102_
2017-12-01,한국 GDP 주요지표,26637.1,200Y102_
2018-03-01,한국 GDP 주요지표,34415.6,200Y102_
2018-06-01,한국 GDP 주요지표,28600.0,200Y102_
