keyword,title,link,description,pubDate,originallink,pubDate_parsed,date
코스피,'4천피' 박스권 갇힌 <b>코스피</b>…쿠팡 5% 이상 급락,https://n.news.naver.com/mnews/article/374/0000478193?sid=101,"지난 2거래일 뒷걸음질 쳤던 <b>코스피</b>가 장 초반부터 뚜렷한 상승세 보이면서 다시 4,000선을 가시권에... 김종윤 기자, <b>코스피</b>는 외국인과 기관이 같이 사고 있죠? [기자] <b>코스피</b>는 개장 후 3,939로 오른 뒤 1.6% 상승하며... ","Tue, 02 Dec 2025 11:39:00 +0900",https://biz.sbs.co.kr/article_hub/20000275867?division=NAVER,2025-12-02 11:39:00+09:00,2025-12-02
반도체,"SK에코플랜트, <b>반도체</b>소재 자회사 4곳 편입",https://n.news.naver.com/mnews/article/016/0002566033?sid=101,"첨단산업 밸류체인 완성 SK에코플랜트가 <b>반도체</b> 및 인공지능(AI) 등 첨단산업 종합 서비스 기업으로 역량을... 신규 편입된 4개사는 포토, 식각가스, 증착, 금속배선, 패키징 등 <b>반도체</b> 제조 전 과정과 유기발광다이오드... ","Tue, 02 Dec 2025 11:35:00 +0900",https://biz.heraldcorp.com/article/10627856?ref=naver,2025-12-02 11:35:00+09:00,2025-12-02
부동산,"정부·지자체, '건전하고 투명한 <b>부동산</b> 시장' 설명회 개최",http://www.marketnews.co.kr/news/articleView.html?idxno=73408,자료=국토교통부 국토교통부(장관 김윤덕)는 한국<b>부동산</b>원(원장 손태락)과 <b>부동산</b> 시장질서 관리 강화를 위해 전국 280여개 지자체(담당자 600여명)를 대상으로 12월 3일(세종)·  4일(대구)·9일(서울) 총 3회에 걸쳐 지역별... ,"Tue, 02 Dec 2025 11:16:00 +0900",http://www.marketnews.co.kr/news/articleView.html?idxno=73408,2025-12-02 11:16:00+09:00,2025-12-02
경제,"李대통령, 5일 충남 타운홀미팅…“韓 <b>경제</b> 핵심 거점”",https://n.news.naver.com/mnews/article/029/0002996933?sid=100,이 대통령은 “국토의 한가운데에 위치한 충남은 전국 어디서나 접근이 용이할 뿐 아니라 반도체와 디스플레이 등 첨단산업이 빠르게 성장하는 우리 <b>경제</b>의 핵심 거점”이라고 평가했다. 이어 “풍부한 해양자원과 넓은... ,"Tue, 02 Dec 2025 11:15:00 +0900",https://www.dt.co.kr/article/12032707?ref=naver,2025-12-02 11:15:00+09:00,2025-12-02
경제,"정부, 내년 <b>경제</b>성장전략에 'AI·반도체 투자' 금산분리 완화 방안 담는...",https://n.news.naver.com/mnews/article/421/0008637226?sid=101,정부가 인공지능(AI)·반도체 등 첨단산업에 대규모 투자를 촉진하기 위해 내년 초 발표할 '<b>경제</b>성장전략'에... 이에 따라 기재부 조직개편으로 출범하는 재정<b>경제</b>부가 내년 초 공개할 <b>경제</b>성장전략에 금산분리 방안을... ,"Tue, 02 Dec 2025 11:15:00 +0900",https://www.news1.kr/economy/trend/5994835,2025-12-02 11:15:00+09:00,2025-12-02
부동산,"서울시, '강북 집중' 모아타운 6곳 확정…총 8478가구 공급[<b>부동산</b>AtoZ]",https://n.news.naver.com/mnews/article/277/0005687623?sid=101,서울시는 강북권인 성북·강북·동대문·중랑·마포구 등 모아타운 6개 지역을 확정해 총 8478가구를 공급한다고 2일 밝혔다. 시는 전날 제18차 소규모주택정비 통합심의 소위원회에서 '성북구 정릉동 226-1일대 모아타운... ,"Tue, 02 Dec 2025 11:15:00 +0900",https://view.asiae.co.kr/article/2025120209011176820,2025-12-02 11:15:00+09:00,2025-12-02
부동산,김이탁 국토부 1차관 취임 &quot;국민 눈높이서 <b>부동산</b> 해법 다시 점검&quot;,https://www.pinpointnews.co.kr/news/articleView.html?idxno=401737,"있다&quot;며 <b>부동산</b> 정책 전반에 대한 재점검을 예고했다. 김 차관은 현재 국토부가 직면한 정책 환경에 대해 &quot;<b>부동산</b> 시장 불안, 국토 불균형, 건설현장 사고 등 다양한 위기에 놓여 있다&quot;고 진단했다. 특히 '주택시장 안정'을... ","Tue, 02 Dec 2025 11:12:00 +0900",https://www.pinpointnews.co.kr/news/articleView.html?idxno=401737,2025-12-02 11:12:00+09:00,2025-12-02
코스피,"<b>코스피</b>, 외국인·기관 동반 매수에 상승 [fn오전시황]",https://n.news.naver.com/mnews/article/014/0005442882?sid=101,<b>코스피</b>가 2일 외국인과 기관의 매수세에 오름세다. 이날 오전 11시 5분 현재 <b>코스피</b>는 전 거래일보다 54.43p(1.39%) 오른 3974.80에 거래되고 있다. <b>코스피</b>는 전 거래일보다 18.72p(0.48%) 오른 3939.09에 출발했다.... ,"Tue, 02 Dec 2025 11:12:00 +0900",http://www.fnnews.com/news/202512021108482454,2025-12-02 11:12:00+09:00,2025-12-02
경제,"공정위, '뒷광고' 근절 위해 '<b>경제</b>적 이해관계 표시' 안내서 개정·배포",https://n.news.naver.com/mnews/article/421/0008637196?sid=101,알아보는 <b>경제</b>적 이해관계 표시'를 개정해 배포한다고 2일 밝혔다. 뒷광고는 광고주와 추천·보증인 사이에 존재하는 <b>경제</b>적 이해관계를 명확하게 공개하지 않고 광고(추천·보증)하는 행위다. 안내서는 △추천·보증 및... ,"Tue, 02 Dec 2025 11:12:00 +0900",https://www.news1.kr/economy/trend/5994921,2025-12-02 11:12:00+09:00,2025-12-02
경제,"KB Bank 인니, '내년 인니 <b>경제</b>·정치 환경 전망' 포럼 개최",https://daily.hankooki.com/news/articleView.html?idxno=1304003,인도네시아의 <b>경제</b> 및 정치 환경을 전망하는 포럼 'KB Bank Economic Outlook 2026'을 개최했다. 사진... 인도네시아의 <b>경제</b> 및 정치 환경을 전망하는 포럼 'KB Bank Economic Outlook 2026'을 개최했다고 밝혔다. 이번... ,"Tue, 02 Dec 2025 11:08:00 +0900",https://daily.hankooki.com/news/articleView.html?idxno=1304003,2025-12-02 11:08:00+09:00,2025-12-02
