timestamp,name,ticker,close,open,high,low,volume
2025-11-06 09:38:59,코스피,^KS11,4026.449951171875,4092.4599609375,4111.9599609375,3985.2900390625,423421
2025-11-06 09:39:00,코스닥,^KQ11,898.1699829101562,915.4299926757812,921.219970703125,890.5800170898438,981007
2025-11-06 09:39:00,KODEX200,069500.KS,56975.0,58030.0,58222.0,56255.0,17605598
2025-11-06 09:39:00,삼성전자,005930.KS,99200.0,103700.0,103800.0,98800.0,31220184
2025-11-06 09:39:01,SK하이닉스,000660.KS,593000.0,602000.0,607000.0,583000.0,5558549
2025-11-06 09:50:35,코스피,^KS11,4026.449951171875,4092.4599609375,4111.9599609375,3985.2900390625,423421
2025-11-06 09:50:35,코스닥,^KQ11,898.1699829101562,915.4299926757812,921.219970703125,890.5800170898438,981007
2025-11-06 09:50:35,KODEX200,069500.KS,56975.0,58030.0,58222.0,56255.0,17605598
2025-11-06 09:50:35,삼성전자,005930.KS,99200.0,103700.0,103800.0,98800.0,28655689
2025-11-06 09:50:35,SK하이닉스,000660.KS,593000.0,602000.0,607000.0,583000.0,5321244
2025-11-06 11:21:47,코스피,^KS11,4026.449951171875,4092.4599609375,4111.9599609375,3985.2900390625,423421
2025-11-06 11:21:47,코스닥,^KQ11,898.1699829101562,915.4299926757812,921.219970703125,890.5800170898438,981007
2025-11-06 11:21:48,KODEX200,069500.KS,56975.0,58030.0,58222.0,56255.0,17605598
2025-11-06 11:21:48,삼성전자,005930.KS,99200.0,103700.0,103800.0,98800.0,31220184
2025-11-06 11:21:48,SK하이닉스,000660.KS,593000.0,602000.0,607000.0,583000.0,5558549
2025-11-07 08:00:03,코스피,^KS11,4026.449951171875,0.0,0.0,0.0,0
2025-11-07 08:00:03,코스닥,^KQ11,898.1699829101562,0.0,0.0,0.0,0
2025-11-07 08:00:03,KODEX200,069500.KS,56975.0,58030.0,58222.0,56255.0,17605590
2025-11-07 08:00:04,삼성전자,005930.KS,99200.0,103700.0,103800.0,98800.0,28655689
2025-11-07 08:00:04,SK하이닉스,000660.KS,593000.0,602000.0,607000.0,583000.0,5321244
2025-11-07 13:18:59,코스피,^KS11,3917.050048828125,3963.719970703125,4037.610107421875,3909.929931640625,249412
2025-11-07 13:18:59,코스닥,^KQ11,870.6599731445312,882.9400024414062,894.8300170898438,869.8800048828125,753634
2025-11-07 13:18:59,KODEX200,069500.KS,55415.0,55945.0,57135.0,55290.0,10690939
2025-11-07 13:18:59,삼성전자,005930.KS,97000.0,96400.0,100300.0,96300.0,15738019
2025-11-07 13:18:59,SK하이닉스,000660.KS,576000.0,577000.0,599000.0,573000.0,2811026
2025-11-07 19:26:06,코스피,^KS11,3953.760009765625,3963.719970703125,4037.610107421875,3887.320068359375,377050,success
2025-11-07 19:26:06,코스닥,^KQ11,876.8099975585938,882.9400024414062,894.8300170898438,864.6699829101562,1041128,success
2025-11-07 19:26:06,KODEX200,069500.KS,55945.0,55945.0,57135.0,54975.0,22145417,success
2025-11-07 19:26:07,삼성전자,005930.KS,97900.0,96400.0,100300.0,96300.0,23936861,success
2025-11-07 19:26:07,SK하이닉스,000660.KS,580000.0,577000.0,599000.0,565000.0,4970826,success
2025-11-07 20:00:03,코스피,^KS11,3953.760009765625,3963.719970703125,4037.610107421875,3887.320068359375,377050,success
2025-11-07 20:00:03,코스닥,^KQ11,876.8099975585938,882.9400024414062,894.8300170898438,864.6699829101562,1041128,success
2025-11-07 20:00:03,KODEX200,069500.KS,55945.0,55945.0,57135.0,54975.0,22145417,success
2025-11-07 20:00:03,삼성전자,005930.KS,97900.0,96400.0,100300.0,96300.0,23936861,success
2025-11-07 20:00:03,SK하이닉스,000660.KS,580000.0,577000.0,599000.0,565000.0,4970826,success
2025-11-08 08:00:03,코스피,^KS11,3953.760009765625,3963.719970703125,4037.610107421875,3887.320068359375,377050,success
2025-11-08 08:00:03,코스닥,^KQ11,876.8099975585938,882.9400024414062,894.8300170898438,864.6699829101562,1041128,success
2025-11-08 08:00:03,KODEX200,069500.KS,55945.0,55945.0,57135.0,54975.0,22145410,success
2025-11-08 08:00:03,삼성전자,005930.KS,97900.0,96400.0,100300.0,96300.0,23936861,success
2025-11-08 08:00:04,SK하이닉스,000660.KS,580000.0,577000.0,599000.0,565000.0,4970826,success
2025-11-08 20:00:03,코스피,^KS11,3953.760009765625,3963.719970703125,4037.610107421875,3887.320068359375,377100,success
2025-11-08 20:00:03,코스닥,^KQ11,876.8099975585938,882.9400024414062,894.8300170898438,864.6699829101562,1000,success
2025-11-08 20:00:03,KODEX200,069500.KS,55945.0,55945.0,57135.0,54975.0,22145410,success
2025-11-08 20:00:04,삼성전자,005930.KS,97900.0,96400.0,100300.0,96300.0,22908083,success
2025-11-08 20:00:04,SK하이닉스,000660.KS,580000.0,577000.0,599000.0,565000.0,4789397,success
2025-11-09 08:00:04,코스피,^KS11,3953.760009765625,3963.719970703125,4037.610107421875,3887.320068359375,377100,success
2025-11-09 08:00:04,코스닥,^KQ11,876.8099975585938,882.9400024414062,894.8300170898438,864.6699829101562,1000,success
2025-11-09 08:00:04,KODEX200,069500.KS,55945.0,55945.0,57135.0,54975.0,22145410,success
2025-11-09 08:00:04,삼성전자,005930.KS,97900.0,96400.0,100300.0,96300.0,22908083,success
2025-11-09 08:00:04,SK하이닉스,000660.KS,580000.0,577000.0,599000.0,565000.0,4789397,success
2025-11-09 20:00:03,코스피,^KS11,3953.760009765625,3963.719970703125,4037.610107421875,3887.320068359375,377100,success
